opportunity_id,sales_agent,manager,regional_office,product,series,sales_price,account,sector,year_established,account_revenue,employees,office_location,deal_stage,engage_date,close_date,sales_cycle_days,close_value,won_flag
NL3JZH1Z,"Anna Snelling","Dustin Brinkmann",Central,"MG Special",MG,55,Bioholding,medical,2012,587.34,1356,Philipines,Won,2016-11-04,2017-03-10,126,53,1
JSD4APT2,"Versie Hillebrand","Dustin Brinkmann",Central,"MG Special",MG,55,Bioholding,medical,2012,587.34,1356,Philipines,Won,2016-11-10,2017-03-12,122,61,1
N4SD17JR,"Reed Clapper","Rocco Neubert",East,"GTX Basic",GTX,550,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2016-11-12,2017-03-01,109,556,1
7FQMSWIX,"Corliss Cosme","Cara Losch",East,"MG Special",MG,55,Bioplex,medical,1991,326.82,1016,"United States",Won,2016-11-22,2017-03-04,102,62,1
J7YF6DS7,"Corliss Cosme","Cara Losch",East,"GTX Plus Pro",GTX,5482,Betasoloin,medical,1999,251.41,495,"United States",Won,2016-11-25,2017-03-01,96,5964,1
S5IXY4Z9,"Corliss Cosme","Cara Losch",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Won,2016-11-25,2017-03-06,101,4570,1
SKY95DVG,"Anna Snelling","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Lost,2016-12-09,2017-03-22,103,0,0
0ZHLQFGU,"Kami Bicknell","Summer Sewald",West,"GTX Pro",GTX,4821,Blackzim,retail,2009,497.11,1588,"United States",Won,2016-12-10,2017-03-22,102,4839,1
PYZZ3IS6,"Markita Hansen","Celia Rouche",West,"GTX Plus Basic",GTX,1096,Blackzim,retail,2009,497.11,1588,"United States",Won,2016-12-11,2017-03-11,90,1043,1
EJMX0EIJ,"Darcel Schlecht","Melvin Marxen",Central,"GTX Plus Pro",GTX,5482,Betatech,medical,1986,647.18,1185,Kenya,Won,2016-12-13,2017-03-20,97,4278,1
TODG6DEK,"Daniell Hammack","Rocco Neubert",East,"GTX Basic",GTX,550,Bioplex,medical,1991,326.82,1016,"United States",Won,2016-12-15,2017-03-16,91,639,1
1ROC43JK,"Versie Hillebrand","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Won,2016-12-16,2017-03-08,82,50,1
44H0FJMH,"Anna Snelling","Dustin Brinkmann",Central,"GTX Plus Pro",GTX,5482,Bioholding,medical,2012,587.34,1356,Philipines,Lost,2016-12-22,2017-03-27,95,0,0
S8GLKDB9,"Violet Mclelland","Cara Losch",East,"MG Special",MG,55,Bioplex,medical,1991,326.82,1016,"United States",Won,2016-12-22,2017-03-04,72,56,1
RP5PS9A5,"Lajuana Vencill","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Won,2016-12-25,2017-03-10,75,56,1
85XNDIK1,"Kary Hendrixson","Summer Sewald",West,"GTX Basic",GTX,550,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-01-05,2017-03-30,84,0,0
VT5Y73GX,"Anna Snelling","Dustin Brinkmann",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-01-09,2017-03-15,65,56,1
8BQMFR86,"Corliss Cosme","Cara Losch",East,"GTX Plus Pro",GTX,5482,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-01-09,2017-03-30,80,4974,1
YMGWLEHY,"Garret Kinder","Cara Losch",East,"GTX Pro",GTX,4821,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-01-09,2017-03-21,71,3822,1
TBZMXKH4,"Wilburn Farren","Cara Losch",East,"MG Advanced",MG,3393,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-01-15,2017-03-29,73,3833,1
IZD69C5Q,"Marty Freudenburg","Melvin Marxen",Central,"MG Special",MG,55,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-01-21,2017-06-06,136,41,1
V4324HG4,"Violet Mclelland","Cara Losch",East,"MG Special",MG,55,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Lost,2017-01-23,2017-05-06,103,0,0
TK9T01QM,"Reed Clapper","Rocco Neubert",East,"GTX Pro",GTX,4821,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Lost,2017-01-25,2017-05-07,102,0,0
P13DDOTM,"Rosie Papadopoulos","Cara Losch",East,"MG Special",MG,55,Bioplex,medical,1991,326.82,1016,"United States",Won,2017-01-25,2017-03-08,42,59,1
CZ3XOD03,"Boris Faz","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-01-29,2017-05-11,102,5772,1
HWDRCUYU,"Moses Frase","Dustin Brinkmann",Central,"GTX Plus Pro",GTX,5482,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-01-30,2017-05-14,104,5755,1
3B6HWK65,"Vicki Laflamme","Celia Rouche",West,"MG Special",MG,55,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-01-30,2017-05-07,97,0,0
L8D22SSW,"Darcel Schlecht","Melvin Marxen",Central,"MG Advanced",MG,3393,Betatech,medical,1986,647.18,1185,Kenya,Won,2017-02-01,2017-06-17,136,3822,1
RDJFZGM9,"Kami Bicknell","Summer Sewald",West,"MG Special",MG,55,Blackzim,retail,2009,497.11,1588,"United States",Lost,2017-02-01,2017-06-13,132,0,0
3XVY4LEU,"Reed Clapper","Rocco Neubert",East,"GTX Pro",GTX,4821,"Bluth Company",technolgy,1993,1242.32,3027,"United States",Won,2017-02-03,2017-05-09,95,4671,1
88KUDE6J,"Donn Cantrell","Rocco Neubert",East,"GTX Plus Pro",GTX,5482,"Acme Corporation",technolgy,1996,1100.04,2822,"United States",Won,2017-02-04,2017-05-30,115,5366,1
OV5X3O5I,"Cassey Cress","Rocco Neubert",East,"GTX Basic",GTX,550,Betasoloin,medical,1999,251.41,495,"United States",Won,2017-02-05,2017-03-27,50,493,1
